"Name","Libell_long__c","Adresse__c","Ville__c","Mail__c","Telephone__c","Date_fin__c"
"16389","CENTRE D'INFORMATION ET DE RECRUTEMENT ORLEANS","42 BOULEVARD ALEXANDRE MARTIN$45000 ORLEANS","ORLEANS","cir.orleans@gendarmerie.interieur.gouv.fr ","+33 2 38 53 90 95","3999-04-12T10:09:06Z"
"16439","CENTRE D'INFORMATION ET DE RECRUTEMENT LYON","CASERNE GENERAL DE DIVISION DELFOSSE$2 RUE BICHAT$69271 LYON CEDEX 02","LYON CEDEX 02","cir.lyon@gendarmerie.interieur.gouv.fr","+33 4 78 92 78 10","3999-04-12T10:09:06Z"
"16502","CENTRE D'INFORMATION ET DE RECRUTEMENT CLERMONT-FERRAND","4 BIS RUE ROUGET DE LISLE$63000 CLERMONT FERRAND","CLERMONT FERRAND","cir.clermont-ferrand@gendarmerie.interieur.gouv.fr","+33 4 73 41 38 09","3999-04-12T10:09:06Z"
"16552","CENTRE D'INFORMATION ET DE RECRUTEMENT MARSEILLE","CASERNE HETZEL$162 AVENUE DE LA TIMONE$13387 MARSEILLE CEDEX 10","MARSEILLE CEDEX 10","cir.marseille@gendarmerie.interieur.gouv.fr","+33 4 91 85 73 20","3999-04-12T10:09:06Z"
"16617","CENTRE D'INFORMATION ET DE RECRUTEMENT MONTPELLIER","CASERNE LEPIC$359 RUE DE FONTCOUVERTE$34056 MONTPELLIER CEDEX 1","MONTPELLIER CEDEX 1","cir.montpellier@gendarmerie.interieur.gouv.fr","+33 4 67 12 39 99","3999-04-12T10:09:06Z"
"16715","CENTRE D'INFORMATION ET DE RECRUTEMENT METZ","CENTRE COMMERCIAL SAINT JACQUES$3 PLACE DU FORUM$57000 METZ","METZ","cir.metz@gendarmerie.interieur.gouv.fr","+33 3 87 74 85 37","3999-04-12T10:09:06Z"
"16778","CENTRE D'INFORMATION ET DE RECRUTEMENT STRASBOURG","17 D RUE DE MOLSHEIM$67000 STRASBOURG","STRASBOURG","cir.strasbourg@gendarmerie.interieur.gouv.fr","+33 3 88 22 23 33","3999-04-12T10:09:06Z"
"16826","CENTRE D'INFORMATION ET DE RECRUTEMENT REIMS","10 RUE GAMBETTA$51100 REIMS","REIMS","cir.reims@gendarmerie.interieur.gouv.fr","+33 3 26 07 98 88","3999-04-12T10:09:06Z"
"16873","CENTRE D'INFORMATION ET DE RECRUTEMENT DIJON","QUARTIER DEFLANDRE$30 BOULEVARD MARECHAL JOFFRE$21000 DIJON","DIJON","cir.dijon@gendarmerie.interieur.gouv.fr","+33 3 80 70 66 93","3999-04-12T10:09:06Z"
"16920","CENTRE D'INFORMATION ET DE RECRUTEMENT BESANCON","CASERNE CAPITAINE GIRARD$26 RUE DES JUSTICES$25031 BESANCON CEDEX","BESANCON CEDEX","cir.besancon@gendarmerie.interieur.gouv.fr","+33 3 81 40 50 47","3999-04-12T10:09:06Z"
"16993","CENTRE D'INFORMATION ET DE RECRUTEMENT PARIS","CASERNE VERINES$12 PLACE DE LA REPUBLIQUE$75010 PARIS","PARIS","cir.paris@gendarmerie.interieur.gouv.fr","+33 1 85 56 25 53","3999-04-12T10:09:06Z"
"57056","CENTRE D'INFORMATION ET DE RECRUTEMENT AJACCIO","QUARTIER BATTESTI$ROUTE DU VITTULO$20162 AJACCIO CEDEX 1","AJACCIO CEDEX 1","cir.ajaccio@gendarmerie.interieur.gouv.fr","null","3999-04-12T10:09:06Z"
